CourseCode,ProfessorName,NumberAPlus,NumberA,NumberAMinus,NumberBPlus,NumberB,NumberBMinus,NumberCPlus,NumberC,NumberCMinus,NumberDPlus,NumberD,NumberDMinus,NumberF,NumberW
AAS100,"Shin, Jeongsu",0,11,5,1,4,0,0,0,0,0,0,0,1,0
AAS100,"Shin, Jeongsu",0,17,2,1,2,1,0,0,0,0,0,0,0,1
AAS100,"Lee, Sabrina Y",0,13,2,2,0,2,0,0,1,0,0,0,1,0
AAS200,"Sawada, Emilia",6,15,5,2,3,0,0,0,0,0,1,0,1,0
AAS215,"Kwon, Soo Ah",16,12,2,1,1,1,0,0,0,0,0,0,0,0
ABE141,"Leonelli, Laurie B",0,5,4,6,5,2,0,3,1,0,1,0,0,0
ABE152,"Kalita, Prasanta K",55,115,0,4,9,0,0,1,0,1,2,0,5,1
ABE232,"Witmer, Ann-Perry",3,13,5,5,1,0,0,0,0,0,0,0,0,0
ABE425,"Grift, Tony E",0,22,0,2,0,0,0,0,0,0,0,0,0,0
ABE457,"Bhattarai, Rabin",1,14,4,0,2,0,0,1,0,0,0,0,0,0
ABE498,"Wang, Xinlei",2,38,9,2,3,0,0,0,0,0,0,0,0,1
ACCY200,"Zhang, Li",65,68,27,14,12,0,4,2,0,0,0,0,2,1
ACCY200,"Green, Danielle H",62,81,19,27,60,8,6,11,0,0,5,0,2,0
ACCY200,"Zhang, Li",26,6,4,2,0,0,0,0,0,0,0,0,0,1
ACCY201,"Fisher, Mitchell B",42,28,16,29,19,10,11,12,4,2,4,5,6,1
ACCY201,"Fisher, Mitchell B",37,46,23,18,14,13,8,7,9,0,3,6,3,3
ACCY201,"Fisher, Mitchell B",13,6,1,1,0,0,0,0,0,0,0,0,0,0
ACCY202,"Shapland, Julia P",17,60,10,37,37,12,19,7,5,0,1,0,1,0
ACCY202,"Shapland, Julia P",14,48,14,25,48,10,7,6,12,0,2,0,1,2
ACCY202,"Shapland, Julia P",9,14,5,4,4,2,0,1,0,0,0,0,0,0
ACCY301,"Johnson, Jennifer A",10,7,1,3,4,0,1,0,0,0,0,0,0,0
ACCY301,"Johnson, Jennifer A",4,7,4,2,7,1,0,1,0,0,1,0,0,0
ACCY301,"Johnson, Jennifer A",4,8,6,4,4,0,0,0,1,0,1,0,1,0
ACCY301,"Ulla, Jennifer W",0,16,6,3,3,0,0,0,0,0,2,0,0,0
ACCY301,"Johnson, Jennifer A",6,2,4,3,6,5,1,2,0,0,1,0,0,0
ACCY301,"Ulla, Jennifer W",0,10,2,3,5,3,0,1,1,2,0,0,0,0
ACCY302,"Sani, Jalal",5,11,3,5,1,2,0,1,1,0,0,0,0,0
ACCY302,"Sani, Jalal",8,4,6,3,5,0,1,0,1,0,0,0,0,0
ACCY302,"Curtis, Susan M",1,8,8,4,4,1,0,1,0,0,0,0,0,0
ACCY302,"Curtis, Susan M",1,9,7,3,2,4,2,0,0,0,0,0,0,0
ACCY302,"Curtis, Susan M",1,7,9,5,2,5,0,0,1,0,0,0,0,0
ACCY302,"Sani, Jalal",3,4,3,3,4,3,3,2,1,1,1,0,0,0
ACCY303,"Schwartz, Rachel",4,6,6,4,3,1,1,0,0,1,0,1,0,0
ACCY303,"Pachera, Susan",4,5,5,2,2,0,0,4,1,0,0,0,0,0
ACCY303,"Schwartz, Rachel",6,13,2,0,0,3,1,0,0,1,0,1,0,0
ACCY303,"Schwartz, Rachel",0,8,6,2,3,1,1,0,0,1,1,1,0,0
ACCY303,"Pachera, Susan",3,6,1,5,5,3,0,2,0,0,0,0,0,0
