ProfessorName,Number5s,Number4s,Number3s,Number2s,Number1s
"Shin, J",14,10,2,6,2
"Lee, S",0,13,4,3,2
"Sawada, E",0,3,2,5,0
"Kwon, S",14,7,5,6,3
"Leonelli, L",6,9,5,3,0
"Kalita, P",11,9,3,4,3
"Witmer, A",5,7,2,3,0
"Grift, T",12,4,6,3,0
"Bhattarai, R",3,8,5,5,3
"Wang, X",9,3,1,1,2
"Zhang, L",13,11,1,6,2
"Green, D",8,6,5,1,3
"Fisher, M",9,9,5,2,3
"Shapland, J",10,10,5,5,3
"Johnson, J",14,10,2,3,1
"Ulla, J",3,2,2,5,2
"Sani, J",0,10,6,1,1
"Curtis, S",11,9,1,2,2
"Schwartz, R",7,10,2,0,3
"Pachera, S",8,5,3,4,3
"Kink, D",2,2,6,0,3
"Hayne, C",9,10,5,6,0
"Hutchens, M",13,1,2,2,1
"Holder, C",8,4,1,3,1
"Osswald, B",5,7,6,1,3
"Hutchens, M",0,6,4,0,3
"Dahle, A",6,10,3,5,3
"Rogowski, E",2,3,6,6,0
"Kustanovich, M",4,3,1,4,3
"Steward, C",4,10,1,6,3
"Chen, C",6,2,4,2,3
"Alt, A",8,6,2,0,1
"Holder, D",7,5,1,4,0
"Urcan, O",12,12,1,3,2
"Augusto Sampaio, G",8,12,2,2,0
"Mendoza, S",5,8,1,4,1
"Herbold, T",9,4,4,0,0
"Hecht, G",6,7,1,0,1
"Chen, X",4,7,1,6,3
"Ibrahim, A",11,7,5,1,2
"Donohoe, M",2,8,1,3,3
"Persson, M",8,10,2,4,3
"Wang, W",5,11,1,2,0
"Lullo, M",12,12,4,6,1
"Li, Y",0,9,4,2,3
"Hamm, B",8,2,2,3,0
"Leiby, J",5,3,3,5,2
"Park, Y",10,6,1,0,0
"Zhu, W",13,3,3,3,1
"Penn, M",0,12,1,4,3
"Guymon, R",12,13,4,0,2
"Lu, Z",1,9,6,5,2
"Hadunka, P",7,8,2,6,0
"Burnett, M",0,1,1,1,0
"Lo, A",5,10,5,1,0
"Lemoine, C",2,10,5,3,0
"Stoddard, P",0,13,3,5,0
"Damon, L",5,11,3,3,0
"Elmore, A",6,1,2,3,3
"Sanchez, D",1,10,6,4,1
"Michelson, H",10,6,5,2,3
"Ando, A",5,2,2,6,1
"Gundersen, L",8,8,1,3,0
"Hultgren, A",3,1,2,4,2
"Endres, R",6,6,3,1,2
"Endres, A",1,2,1,6,2
"Kalaitzandonake, M",12,9,4,0,2
"Karplus, L",1,2,2,5,0
"Campbell, W",13,8,4,5,2
"Coppess, J",10,3,5,1,2
"Janzen, J",8,8,4,3,3
"Goldsmith, P",7,9,4,1,3
"Schnitkey, G",10,7,4,3,2
"Allen, S",8,10,6,5,0
"Sherrick, B",7,2,6,0,3
"McNamara, P",4,1,1,1,1
"Fonseca Travass, G",12,7,4,5,3
"Herrera Almanza, C",6,10,2,1,0
"Ball, A",14,10,1,0,3
"Faisal, N",8,13,3,5,2
"Arreazola, C",10,8,1,0,3
"Lee, Y",6,2,3,6,2
"Bhalla, S",1,4,5,5,3
"Chambers, J",2,8,2,4,3
"Liu, J",0,7,4,4,2
"Clifton, D",8,8,5,3,2
"Rahman, N",2,10,4,6,0
"Lee, S",2,8,4,0,1
"Meron, S",6,1,1,4,1
"Chung, U",9,7,1,4,0
"Paltaratskaya, V",4,12,4,0,0
